,Crime,Severity,Latitude,Longitude,Day,Hour
3636,BURGLARY - COMMERCIAL,11,37.862927,-122.258784,Thursday,5
3637,BURGLARY - VEHICLE,2,37.887843,-122.270011,Friday,2
3638,DISORDERLY CONDUCT,3,37.858116,-122.268002,Monday,8
3639,DISORDERLY CONDUCT,3,37.869363,-122.268028,Monday,14
3640,BURGLARY - VEHICLE,2,37.886261,-122.251742,Sunday,2
3641,VANDALISM,5,37.867501,-122.291709,Sunday,17
3642,LARCENY,1,37.877393,-122.301918,Friday,13
3643,LARCENY,1,37.86939,-122.267883,Tuesday,7
3644,BURGLARY - VEHICLE,2,37.865511,-122.309967,Tuesday,21
3645,DISORDERLY CONDUCT,3,37.871689,-122.292898,Saturday,10
3646,ROBBERY,9,37.8559,-122.283101,Thursday,17
3648,BURGLARY - VEHICLE,2,37.874979,-122.29528,Thursday,18
3649,BURGLARY - VEHICLE,2,37.853738,-122.251663,Tuesday,9
3650,ASSAULT,4,37.869764,-122.28655,Monday,11
3651,DISORDERLY CONDUCT,3,37.848774,-122.271171,Wednesday,8
3652,LIQUOR LAW VIOLATION,15,37.872158,-122.282066,Sunday,18
3654,ASSAULT,4,37.850541,-122.286037,Friday,13
3655,VANDALISM,5,37.859589,-122.257019,Friday,13
3656,FAMILY OFFENSE,12,37.862202,-122.281026,Sunday,17
3657,DRUG VIOLATION,10,37.878499,-122.296415,Friday,11
3658,BURGLARY - VEHICLE,2,37.869105,-122.270064,Thursday,13
3659,BURGLARY - RESIDENTIAL,8,37.876251,-122.262453,Sunday,0
3660,FRAUD,7,37.854833,-122.279839,Wednesday,16
3661,ROBBERY,9,37.869535,-122.296988,Tuesday,15
3662,BURGLARY - COMMERCIAL,11,37.852822,-122.291677,Friday,3
3663,BURGLARY - COMMERCIAL,11,37.866924,-122.283899,Friday,16
3664,BURGLARY - VEHICLE,2,37.877849,-122.308936,Monday,20
3665,FAMILY OFFENSE,12,37.870054,-122.284263,Thursday,16
3666,LARCENY,1,37.865202,-122.257795,Wednesday,10
3667,ROBBERY,9,37.865511,-122.309967,Saturday,21
3668,VANDALISM,5,37.873687,-122.268616,Wednesday,1
3669,ASSAULT,4,37.850681,-122.270619,Sunday,17
3670,BURGLARY - VEHICLE,2,37.880228,-122.295798,Tuesday,16
3671,MOTOR VEHICLE THEFT,6,37.857336,-122.290797,Saturday,22
3672,ASSAULT,4,37.871167,-122.268285,Wednesday,12
3673,BURGLARY - VEHICLE,2,37.867513,-122.26127,Friday,15
3674,BURGLARY - VEHICLE,2,37.863611,-122.317566,Friday,20
3675,LARCENY,1,37.880971,-122.306626,Monday,13
3676,FRAUD,7,37.86939,-122.267883,Friday,9
3677,LARCENY,1,37.871544,-122.272714,Sunday,19
3678,LARCENY,1,37.849315,-122.279798,Friday,8
3679,DISORDERLY CONDUCT,3,37.876791,-122.280472,Friday,20
3680,SEX CRIME,17,37.859539,-122.259172,Wednesday,16
3681,LARCENY - FROM VEHICLE,13,37.861591,-122.254736,Tuesday,16
3682,LARCENY,1,37.864385,-122.290697,Sunday,16
3683,ASSAULT,4,37.870948,-122.27733,Tuesday,19
3684,BURGLARY - COMMERCIAL,11,37.870948,-122.27733,Tuesday,2
3686,MOTOR VEHICLE THEFT,6,37.867291,-122.270245,Friday,12
3687,BURGLARY - VEHICLE,2,37.875023,-122.281229,Tuesday,12
3688,DISORDERLY CONDUCT,3,37.870592,-122.286613,Thursday,7
3689,VANDALISM,5,37.870287,-122.316238,Sunday,10
3690,ROBBERY,9,37.867176,-122.267802,Monday,1
3691,ASSAULT,4,37.881445,-122.274077,Saturday,0
3692,ASSAULT,4,37.858863,-122.279024,Wednesday,8
3693,BURGLARY - RESIDENTIAL,8,37.894661,-122.27503,Tuesday,11
3695,BURGLARY - COMMERCIAL,11,37.848453,-122.273607,Friday,4
3696,BURGLARY - VEHICLE,2,37.868655,-122.288064,Thursday,0
3697,VANDALISM,5,37.872907,-122.266975,Monday,21
3698,BURGLARY - VEHICLE,2,37.892865,-122.287084,Sunday,20
3699,ASSAULT,4,37.871828,-122.270516,Saturday,0
3700,BURGLARY - VEHICLE,2,37.886401,-122.251877,Sunday,0
3702,BURGLARY - RESIDENTIAL,8,37.866024,-122.292382,Tuesday,7
3703,BURGLARY - VEHICLE,2,37.86331,-122.316113,Wednesday,8
3704,BURGLARY - VEHICLE,2,37.850444,-122.288866,Thursday,16
3705,MOTOR VEHICLE THEFT,6,37.848453,-122.273607,Tuesday,19
3706,LARCENY,1,37.862927,-122.258784,Monday,18
3707,DISORDERLY CONDUCT,3,37.865748,-122.253396,Wednesday,0
3708,LARCENY,1,37.858116,-122.268002,Saturday,17
3709,BURGLARY - VEHICLE,2,37.881142,-122.30191,Thursday,20
3710,LIQUOR LAW VIOLATION,15,37.859184,-122.289022,Sunday,19
3711,ASSAULT,4,37.86939,-122.267883,Wednesday,7
3712,MOTOR VEHICLE THEFT,6,37.862994,-122.289129,Tuesday,0
3713,LARCENY,1,37.87247,-122.273021,Friday,12
3714,DISORDERLY CONDUCT,3,37.868574,-122.270415,Friday,14
3715,WEAPONS OFFENSE,14,37.872725,-122.277729,Sunday,10
3716,LARCENY,1,37.857377,-122.268709,Saturday,15
3717,FAMILY OFFENSE,12,37.863611,-122.317566,Sunday,19
3718,LARCENY,1,37.867852,-122.258699,Sunday,20
3719,DISORDERLY CONDUCT,3,37.881957,-122.269551,Thursday,18
