,Crime,Severity,Latitude,Longitude,Day,Hour
0,BURGLARY - VEHICLE,2,37.871883,-122.301255,Saturday,10
1,BURGLARY - VEHICLE,2,37.880227,-122.26936,Tuesday,14
2,DISORDERLY CONDUCT,3,37.848453,-122.273607,Tuesday,9
3,BURGLARY - VEHICLE,2,37.877482,-122.256109,Wednesday,8
4,BURGLARY - VEHICLE,2,37.878274,-122.297556,Friday,2
5,MOTOR VEHICLE THEFT,6,37.85177,-122.276489,Friday,21
6,DISORDERLY CONDUCT,3,37.856088,-122.29274,Sunday,8
7,BURGLARY - VEHICLE,2,37.88024,-122.269235,Friday,21
8,LARCENY - FROM VEHICLE,13,37.869167,-122.284138,Sunday,12
9,BURGLARY - RESIDENTIAL,8,37.869594,-122.30292,Friday,0
10,LARCENY,1,37.866761,-122.258779,Tuesday,17
11,BURGLARY - RESIDENTIAL,8,37.861843,-122.269644,Tuesday,22
12,LARCENY,1,37.865797,-122.252741,Sunday,12
13,MOTOR VEHICLE THEFT,6,37.864238,-122.265263,Sunday,22
14,DISORDERLY CONDUCT,3,37.869688,-122.272805,Sunday,9
15,BURGLARY - VEHICLE,2,37.880756,-122.303056,Wednesday,18
16,LIQUOR LAW VIOLATION,15,37.857041,-122.253053,Friday,10
17,LARCENY,1,37.867176,-122.267802,Wednesday,12
18,ASSAULT,4,37.869888,-122.300618,Thursday,9
19,MOTOR VEHICLE THEFT,6,37.881225,-122.300827,Saturday,16
20,BURGLARY - RESIDENTIAL,8,37.864808,-122.287576,Friday,20
21,WEAPONS OFFENSE,14,37.877891,-122.299419,Thursday,18
22,FRAUD,7,37.882739,-122.293754,Thursday,13
23,LARCENY,1,37.871828,-122.270516,Friday,16
24,ASSAULT,4,37.868641,-122.29415,Thursday,19
25,MOTOR VEHICLE THEFT,6,37.879129,-122.302478,Friday,18
27,DISORDERLY CONDUCT,3,37.855026,-122.266475,Tuesday,16
28,ASSAULT,4,37.866761,-122.258779,Sunday,20
29,BURGLARY - VEHICLE,2,37.84889,-122.270291,Tuesday,16
30,WEAPONS OFFENSE,14,37.876307,-122.268923,Tuesday,16
31,LARCENY,1,37.857377,-122.268709,Sunday,11
32,BURGLARY - VEHICLE,2,37.867176,-122.267802,Tuesday,10
33,MOTOR VEHICLE THEFT,6,37.87325,-122.293558,Tuesday,0
34,BURGLARY - RESIDENTIAL,8,37.86771,-122.298466,Friday,11
35,FRAUD,7,37.865202,-122.257795,Friday,10
36,BURGLARY - COMMERCIAL,11,37.882033,-122.296381,Monday,0
37,BURGLARY - RESIDENTIAL,8,37.883039,-122.290301,Wednesday,9
38,LARCENY,1,37.874237,-122.273052,Saturday,12
39,BURGLARY - VEHICLE,2,37.853576,-122.287202,Wednesday,20
40,LARCENY,1,37.891214,-122.282158,Friday,0
41,BURGLARY - COMMERCIAL,11,37.873079,-122.304672,Friday,13
42,LARCENY,1,37.871323,-122.267222,Wednesday,0
43,BURGLARY - VEHICLE,2,37.879968,-122.296885,Wednesday,21
44,LARCENY,1,37.861604,-122.264366,Thursday,14
45,LARCENY,1,37.867513,-122.26127,Wednesday,14
46,FRAUD,7,37.891594,-122.264883,Wednesday,14
47,DISORDERLY CONDUCT,3,37.861573,-122.257452,Tuesday,8
48,LARCENY,1,37.853552,-122.291561,Wednesday,9
49,DISORDERLY CONDUCT,3,37.858433,-122.280183,Tuesday,21
50,BURGLARY - VEHICLE,2,37.87325,-122.293558,Saturday,10
52,LARCENY,1,37.880227,-122.26936,Monday,15
53,MOTOR VEHICLE THEFT,6,37.867822,-122.266003,Wednesday,16
54,VANDALISM,5,37.866622,-122.26108,Tuesday,2
55,LARCENY,1,37.85848,-122.271551,Wednesday,15
56,LARCENY,1,37.870308,-122.26805,Wednesday,16
57,LARCENY,1,37.862169,-122.267084,Sunday,15
58,BURGLARY - VEHICLE,2,37.869363,-122.268028,Tuesday,21
59,VANDALISM,5,37.870054,-122.284263,Wednesday,23
61,ROBBERY,9,37.855854,-122.273237,Friday,10
62,RECOVERED VEHICLE,19,37.877196,-122.302986,Sunday,17
63,LIQUOR LAW VIOLATION,15,37.861661,-122.256169,Sunday,16
64,ASSAULT,4,37.867212,-122.281739,Wednesday,21
65,LARCENY,1,37.858116,-122.268002,Tuesday,7
66,DISORDERLY CONDUCT,3,37.861661,-122.256169,Friday,11
67,BURGLARY - RESIDENTIAL,8,37.876357,-122.285189,Wednesday,5
68,VANDALISM,5,37.868164,-122.256314,Tuesday,22
69,LARCENY,1,37.866936,-122.296218,Monday,20
70,MOTOR VEHICLE THEFT,6,37.869993,-122.294774,Thursday,17
71,LARCENY,1,37.851653,-122.289194,Sunday,8
72,LARCENY,1,37.86639,-122.267711,Wednesday,7
73,MISSING PERSON,16,37.88014,-122.297498,Tuesday,18
74,LARCENY,1,37.869562,-122.267871,Wednesday,12
75,ASSAULT,4,37.860926,-122.269532,Wednesday,5
76,DISORDERLY CONDUCT,3,37.898744,-122.276666,Friday,17
77,ROBBERY,9,37.852216,-122.273012,Thursday,16
78,BURGLARY - RESIDENTIAL,8,37.85525,-122.277126,Tuesday,17
79,FRAUD,7,37.866568,-122.254084,Sunday,11
80,WEAPONS OFFENSE,14,37.869973,-122.270557,Tuesday,12
81,ASSAULT,4,37.85525,-122.277126,Thursday,21
82,BURGLARY - VEHICLE,2,37.865963,-122.279288,Wednesday,13
83,WEAPONS OFFENSE,14,37.876085,-122.306138,Thursday,13
84,LARCENY,1,37.859589,-122.257019,Sunday,20
85,FAMILY OFFENSE,12,37.869973,-122.270557,Tuesday,17
86,BURGLARY - VEHICLE,2,37.88014,-122.297498,Friday,14
87,DISORDERLY CONDUCT,3,37.867708,-122.250801,Sunday,23
88,FRAUD,7,37.855293,-122.266502,Thursday,10
89,KIDNAPPING,20,37.883512,-122.27103,Monday,0
90,BURGLARY - RESIDENTIAL,8,37.851263,-122.252477,Wednesday,22
91,MOTOR VEHICLE THEFT,6,37.851503,-122.278518,Monday,21
92,ROBBERY,9,37.87644,-122.257023,Wednesday,19
93,VANDALISM,5,37.861677,-122.26716,Wednesday,4
94,VANDALISM,5,37.871167,-122.268285,Wednesday,0
95,LARCENY - FROM VEHICLE,13,37.870287,-122.316238,Saturday,13
96,DISORDERLY CONDUCT,3,37.849732,-122.276144,Sunday,14
97,ASSAULT,4,37.859988,-122.253339,Sunday,7
98,LARCENY,1,37.870308,-122.26805,Thursday,17
99,LARCENY,1,37.869363,-122.268028,Tuesday,16
100,LARCENY,1,37.851477,-122.278651,Friday,14
101,ROBBERY,9,37.868957,-122.254552,Monday,12
102,FAMILY OFFENSE,12,37.848724,-122.271528,Thursday,0
103,BURGLARY - VEHICLE,2,37.868352,-122.254459,Tuesday,7
104,LARCENY,1,37.871167,-122.268285,Friday,13
105,DISORDERLY CONDUCT,3,37.863598,-122.253693,Thursday,19
106,FRAUD,7,37.854215,-122.269167,Monday,16
107,FRAUD,7,37.850005,-122.280256,Tuesday,13
109,ASSAULT,4,37.871167,-122.268285,Friday,19
110,LARCENY,1,37.869105,-122.270064,Tuesday,16
111,DISORDERLY CONDUCT,3,37.869084,-122.299245,Thursday,3
112,FRAUD,7,37.876416,-122.265403,Thursday,2
113,BURGLARY - VEHICLE,2,37.867601,-122.267718,Thursday,16
114,LARCENY,1,37.88014,-122.297498,Wednesday,15
115,BURGLARY - VEHICLE,2,37.865511,-122.309967,Friday,19
116,BURGLARY - VEHICLE,2,37.873921,-122.275577,Tuesday,6
118,FRAUD,7,37.888199,-122.250826,Tuesday,10
119,MOTOR VEHICLE THEFT,6,37.880376,-122.268183,Thursday,17
120,MOTOR VEHICLE THEFT,6,37.863369,-122.257622,Monday,21
121,DISORDERLY CONDUCT,3,37.871689,-122.292898,Thursday,5
122,MOTOR VEHICLE THEFT,6,37.864144,-122.280257,Wednesday,20
123,BURGLARY - VEHICLE,2,37.848453,-122.273607,Tuesday,21
124,BURGLARY - VEHICLE,2,37.852529,-122.247255,Thursday,17
125,MOTOR VEHICLE THEFT,6,37.858525,-122.266906,Tuesday,0
126,BURGLARY - VEHICLE,2,37.882217,-122.302226,Friday,20
127,VANDALISM,5,37.865443,-122.263189,Friday,0
128,VANDALISM,5,37.869764,-122.28655,Monday,17
129,LARCENY,1,37.850809,-122.291042,Saturday,18
130,ASSAULT,4,37.847889,-122.277816,Tuesday,19
131,WEAPONS OFFENSE,14,37.872691,-122.270741,Monday,20
132,VANDALISM,5,37.859184,-122.289022,Thursday,18
133,FRAUD,7,37.882217,-122.302226,Friday,22
134,FRAUD,7,37.871246,-122.274991,Thursday,20
135,ASSAULT,4,37.863945,-122.294086,Monday,11
137,BURGLARY - RESIDENTIAL,8,37.872158,-122.282066,Saturday,2
138,BURGLARY - RESIDENTIAL,8,37.895015,-122.268667,Saturday,20
139,ASSAULT,4,37.866265,-122.305592,Friday,19
141,BURGLARY - VEHICLE,2,37.853644,-122.262046,Tuesday,17
142,LIQUOR LAW VIOLATION,15,37.862169,-122.267084,Wednesday,21
143,LARCENY,1,37.869888,-122.300618,Monday,11
144,BURGLARY - RESIDENTIAL,8,37.896558,-122.285222,Friday,14
145,FAMILY OFFENSE,12,37.86939,-122.267883,Tuesday,11
146,LARCENY,1,37.854185,-122.29213,Tuesday,19
147,DISORDERLY CONDUCT,3,37.858116,-122.268002,Wednesday,8
148,VANDALISM,5,37.876897,-122.28868,Sunday,21
149,LARCENY,1,37.871167,-122.268285,Monday,12
150,VANDALISM,5,37.867176,-122.267802,Tuesday,10
151,LARCENY,1,37.861078,-122.289632,Friday,4
152,BURGLARY - VEHICLE,2,37.853576,-122.287202,Monday,20
153,BURGLARY - VEHICLE,2,37.867513,-122.26127,Wednesday,11
154,ROBBERY,9,37.856755,-122.255249,Thursday,12
155,LARCENY,1,37.876045,-122.260336,Monday,18
156,BURGLARY - RESIDENTIAL,8,37.855992,-122.261128,Friday,11
157,DRUG VIOLATION,10,37.870592,-122.286613,Saturday,13
158,ROBBERY,9,37.854732,-122.26898,Thursday,15
159,ASSAULT,4,37.851324,-122.272873,Saturday,19
160,DRUG VIOLATION,10,37.873687,-122.268616,Tuesday,2
161,LARCENY,1,37.876297,-122.27124,Monday,12
162,LARCENY,1,37.880228,-122.295798,Thursday,13
163,DISORDERLY CONDUCT,3,37.870948,-122.27733,Wednesday,14
164,FRAUD,7,37.863945,-122.294086,Sunday,0
165,SEX CRIME,17,37.867482,-122.254253,Saturday,4
166,LARCENY,1,37.874237,-122.273052,Sunday,17
167,MOTOR VEHICLE THEFT,6,37.883039,-122.290301,Friday,15
168,BURGLARY - RESIDENTIAL,8,37.866074,-122.26331,Thursday,3
169,BURGLARY - VEHICLE,2,37.863368,-122.296921,Wednesday,22
170,LARCENY,1,37.869011,-122.270835,Friday,15
171,ASSAULT,4,37.853875,-122.260048,Thursday,14
172,DRUG VIOLATION,10,37.871605,-122.273018,Thursday,19
173,LARCENY,1,37.871883,-122.301255,Friday,13
174,BURGLARY - VEHICLE,2,37.863811,-122.267412,Friday,14
175,ASSAULT,4,37.852211,-122.286336,Sunday,23
176,VANDALISM,5,37.864258,-122.272202,Saturday,0
177,FRAUD,7,37.859184,-122.289022,Saturday,10
178,LARCENY,1,37.873687,-122.268616,Tuesday,8
179,LARCENY,1,37.848585,-122.272612,Tuesday,17
180,DRUG VIOLATION,10,37.880245,-122.296973,Friday,17
181,ROBBERY,9,37.878112,-122.269114,Saturday,14
182,LARCENY,1,37.880227,-122.26936,Tuesday,20
183,MOTOR VEHICLE THEFT,6,37.863977,-122.267307,Monday,18
184,LARCENY - FROM VEHICLE,13,37.882038,-122.281136,Saturday,22
185,VANDALISM,5,37.855832,-122.272369,Thursday,16
186,LARCENY,1,37.855832,-122.272369,Friday,11
187,LARCENY,1,37.862459,-122.272001,Monday,22
188,LARCENY,1,37.866969,-122.26553,Tuesday,19
189,BURGLARY - VEHICLE,2,37.858777,-122.29006,Tuesday,21
190,LARCENY,1,37.859665,-122.27169,Wednesday,16
191,FRAUD,7,37.857468,-122.283418,Friday,12
192,FRAUD,7,37.888072,-122.272344,Wednesday,14
193,ROBBERY,9,37.862763,-122.262639,Tuesday,16
194,MOTOR VEHICLE THEFT,6,37.874929,-122.267601,Wednesday,22
195,DRUG VIOLATION,10,37.873194,-122.30407,Thursday,22
196,LARCENY - FROM VEHICLE,13,37.866936,-122.296218,Tuesday,19
197,BURGLARY - VEHICLE,2,37.873079,-122.304672,Tuesday,12
198,BURGLARY - RESIDENTIAL,8,37.868913,-122.28608,Saturday,21
199,DISORDERLY CONDUCT,3,37.869535,-122.296988,Sunday,13
200,FRAUD,7,37.861386,-122.287323,Thursday,0
201,VANDALISM,5,37.864897,-122.288672,Friday,22
202,DISORDERLY CONDUCT,3,37.871828,-122.270516,Tuesday,7
203,WEAPONS OFFENSE,14,37.881957,-122.269551,Thursday,10
204,LARCENY,1,37.871246,-122.274991,Wednesday,19
205,VANDALISM,5,37.868957,-122.254552,Saturday,2
206,ASSAULT,4,37.86939,-122.267883,Friday,4
207,ASSAULT,4,37.882279,-122.296321,Tuesday,12
208,BURGLARY - VEHICLE,2,37.877482,-122.256109,Saturday,20
209,VANDALISM,5,37.871544,-122.272714,Monday,8
210,ASSAULT,4,37.86847,-122.289354,Saturday,20
211,DISORDERLY CONDUCT,3,37.868714,-122.259189,Wednesday,22
212,MOTOR VEHICLE THEFT,6,37.857921,-122.247552,Sunday,14
213,LARCENY,1,37.862927,-122.258784,Wednesday,20
214,ROBBERY,9,37.8549,-122.27945,Monday,5
215,VANDALISM,5,37.873976,-122.282257,Wednesday,20
216,MOTOR VEHICLE THEFT,6,37.864836,-122.299024,Saturday,7
217,LARCENY,1,37.870652,-122.27958,Tuesday,17
218,MOTOR VEHICLE THEFT,6,37.888199,-122.250826,Sunday,15
219,LARCENY,1,37.868512,-122.26781,Sunday,18
221,SEX CRIME,17,37.856111,-122.260248,Tuesday,0
222,DISORDERLY CONDUCT,3,37.872725,-122.277729,Thursday,7
223,DISORDERLY CONDUCT,3,37.869067,-122.292043,Tuesday,12
224,LARCENY,1,37.865772,-122.267643,Saturday,19
225,BURGLARY - VEHICLE,2,37.857099,-122.263785,Thursday,16
227,LARCENY,1,37.852435,-122.270917,Thursday,17
228,DISORDERLY CONDUCT,3,37.867708,-122.250801,Monday,4
229,BURGLARY - VEHICLE,2,37.876251,-122.262453,Monday,9
230,ROBBERY,9,37.875922,-122.29441,Saturday,3
231,BURGLARY - COMMERCIAL,11,37.880228,-122.295798,Wednesday,23
232,BURGLARY - VEHICLE,2,37.862817,-122.298359,Sunday,16
233,BURGLARY - VEHICLE,2,37.864925,-122.273436,Wednesday,10
234,DISORDERLY CONDUCT,3,37.867176,-122.267802,Wednesday,12
235,LARCENY,1,37.868507,-122.28073,Monday,11
236,BURGLARY - RESIDENTIAL,8,37.867613,-122.299898,Friday,13
237,DRUG VIOLATION,10,37.867816,-122.258994,Saturday,2
238,BURGLARY - RESIDENTIAL,8,37.893209,-122.267612,Wednesday,10
239,LARCENY - FROM VEHICLE,13,37.860334,-122.280567,Saturday,17
240,DISORDERLY CONDUCT,3,37.871246,-122.274991,Tuesday,21
241,LARCENY,1,37.870602,-122.265794,Sunday,16
242,ROBBERY,9,37.874237,-122.273052,Monday,21
243,LARCENY,1,37.850675,-122.286265,Tuesday,23
244,VANDALISM,5,37.882943,-122.279383,Monday,4
245,BURGLARY - VEHICLE,2,37.862808,-122.27633,Saturday,20
246,LARCENY,1,37.880228,-122.295798,Monday,15
247,ASSAULT,4,37.863679,-122.269631,Friday,22
248,ROBBERY,9,37.851038,-122.252448,Saturday,15
249,MOTOR VEHICLE THEFT,6,37.855824,-122.25502,Thursday,15
250,FAMILY OFFENSE,12,37.854732,-122.26898,Monday,19
251,VANDALISM,5,37.855651,-122.255006,Sunday,9
252,LARCENY,1,37.869423,-122.281951,Friday,17
253,LARCENY,1,37.891214,-122.282158,Monday,15
254,BURGLARY - VEHICLE,2,37.853875,-122.260048,Tuesday,14
255,LARCENY,1,37.871167,-122.268285,Friday,16
256,LARCENY - FROM VEHICLE,13,37.865134,-122.258331,Friday,10
257,LARCENY,1,37.85931,-122.273495,Wednesday,12
258,LARCENY,1,37.869888,-122.300618,Sunday,14
259,ARSON,18,37.857792,-122.258537,Thursday,4
260,BURGLARY - VEHICLE,2,37.872691,-122.270741,Saturday,18
261,LARCENY,1,37.878239,-122.288374,Saturday,15
262,BURGLARY - VEHICLE,2,37.862516,-122.27853,Tuesday,21
263,ASSAULT,4,37.873687,-122.268616,Sunday,7
264,BURGLARY - RESIDENTIAL,8,37.865535,-122.255235,Thursday,0
265,BURGLARY - VEHICLE,2,37.858047,-122.245306,Tuesday,0
266,BURGLARY - VEHICLE,2,37.864591,-122.276855,Friday,16
267,MOTOR VEHICLE THEFT,6,37.872404,-122.297999,Wednesday,1
268,FAMILY OFFENSE,12,37.861078,-122.289632,Saturday,14
269,BURGLARY - RESIDENTIAL,8,37.877596,-122.28657,Friday,21
270,LARCENY,1,37.864335,-122.286429,Tuesday,7
271,BURGLARY - RESIDENTIAL,8,37.868204,-122.270054,Saturday,16
272,LARCENY,1,37.852956,-122.266195,Friday,13
275,DRUG VIOLATION,10,37.850424,-122.296031,Wednesday,23
276,LARCENY,1,37.867176,-122.267802,Tuesday,17
277,VANDALISM,5,37.869688,-122.272805,Thursday,9
278,LARCENY,1,37.85968,-122.255796,Saturday,9
279,VANDALISM,5,37.873687,-122.268616,Monday,0
280,SEX CRIME,17,37.8559,-122.283101,Monday,7
281,LARCENY,1,37.867852,-122.258699,Saturday,12
282,BURGLARY - VEHICLE,2,37.898024,-122.269917,Wednesday,19
283,LARCENY,1,37.869888,-122.300618,Thursday,14
284,BURGLARY - VEHICLE,2,37.86542,-122.25618,Sunday,13
285,ASSAULT,4,37.861645,-122.253508,Sunday,20
286,LIQUOR LAW VIOLATION,15,37.890366,-122.266998,Sunday,0
287,LARCENY,1,37.873687,-122.268616,Saturday,6
288,FAMILY OFFENSE,12,37.885683,-122.308114,Monday,19
289,LARCENY,1,37.891214,-122.282158,Saturday,12
290,BURGLARY - VEHICLE,2,37.863611,-122.317566,Friday,21
291,ROBBERY,9,37.867717,-122.249901,Tuesday,21
292,ROBBERY,9,37.854833,-122.279839,Monday,20
293,BURGLARY - VEHICLE,2,37.880266,-122.269032,Friday,8
294,LARCENY,1,37.874581,-122.277744,Thursday,19
295,LARCENY,1,37.879016,-122.264445,Saturday,23
296,FRAUD,7,37.852683,-122.276556,Sunday,13
297,BURGLARY - VEHICLE,2,37.88014,-122.297498,Thursday,21
298,LARCENY,1,37.858337,-122.261387,Friday,17
299,LIQUOR LAW VIOLATION,15,37.853552,-122.291561,Wednesday,14
300,LARCENY,1,37.857377,-122.268709,Thursday,16
301,BURGLARY - RESIDENTIAL,8,37.867513,-122.25195,Friday,3
302,DISORDERLY CONDUCT,3,37.850085,-122.286077,Monday,22
303,BURGLARY - RESIDENTIAL,8,37.865149,-122.256487,Saturday,15
304,LARCENY,1,37.868204,-122.270054,Friday,12
305,BURGLARY - VEHICLE,2,37.865511,-122.309967,Tuesday,19
306,DISORDERLY CONDUCT,3,37.863679,-122.269631,Thursday,17
307,MOTOR VEHICLE THEFT,6,37.868815,-122.292131,Friday,5
308,MOTOR VEHICLE THEFT,6,37.849376,-122.294952,Wednesday,10
309,ASSAULT,4,37.867513,-122.26127,Sunday,0
310,VANDALISM,5,37.870396,-122.281585,Tuesday,9
311,VANDALISM,5,37.871167,-122.268285,Tuesday,10
312,DISORDERLY CONDUCT,3,37.867108,-122.292737,Tuesday,15
313,VANDALISM,5,37.861283,-122.273911,Monday,23
314,BURGLARY - VEHICLE,2,37.862817,-122.298359,Tuesday,11
315,BURGLARY - VEHICLE,2,37.863598,-122.253693,Sunday,22
316,LARCENY,1,37.857377,-122.268709,Wednesday,15
317,NOISE VIOLATION,21,37.869839,-122.252365,Monday,22
318,ASSAULT,4,37.869105,-122.270064,Saturday,15
319,DISORDERLY CONDUCT,3,37.851919,-122.286667,Tuesday,18
320,BURGLARY - VEHICLE,2,37.869067,-122.292043,Friday,22
321,FRAUD,7,37.876595,-122.267789,Monday,10
322,HOMICIDE,23,37.8559,-122.283101,Saturday,17
323,LARCENY,1,37.870287,-122.316238,Wednesday,22
324,MOTOR VEHICLE THEFT,6,37.879524,-122.30028,Sunday,0
325,LARCENY,1,37.891332,-122.279975,Wednesday,16
326,LARCENY,1,37.867176,-122.267802,Monday,10
327,FAMILY OFFENSE,12,37.882112,-122.303514,Tuesday,11
328,LARCENY,1,37.874781,-122.268758,Wednesday,22
329,LARCENY,1,37.869363,-122.268028,Thursday,17
330,ASSAULT,4,37.870583,-122.265956,Wednesday,12
331,BURGLARY - RESIDENTIAL,8,37.855651,-122.255006,Sunday,15
332,ROBBERY,9,37.863938,-122.253735,Sunday,2
333,ASSAULT,4,37.851477,-122.278651,Tuesday,16
334,BURGLARY - VEHICLE,2,37.867513,-122.26127,Monday,20
335,LARCENY,1,37.851921,-122.269813,Wednesday,19
336,BURGLARY - VEHICLE,2,37.855435,-122.259841,Tuesday,8
338,VANDALISM,5,37.867601,-122.267718,Friday,0
339,BURGLARY - VEHICLE,2,37.868352,-122.254459,Tuesday,14
340,LARCENY,1,37.894721,-122.286417,Wednesday,3
341,VANDALISM,5,37.87091,-122.265993,Wednesday,16
342,LARCENY,1,37.868714,-122.259189,Thursday,20
343,BURGLARY - VEHICLE,2,37.868164,-122.256314,Wednesday,19
344,LARCENY,1,37.880228,-122.295798,Wednesday,11
345,DISORDERLY CONDUCT,3,37.871171,-122.267718,Saturday,10
346,DRUG VIOLATION,10,37.869128,-122.292234,Friday,7
347,ASSAULT,4,37.867816,-122.258994,Tuesday,12
348,ROBBERY,9,37.871689,-122.292898,Thursday,21
349,LARCENY,1,37.888615,-122.271456,Thursday,0
350,DISORDERLY CONDUCT,3,37.869973,-122.270557,Sunday,13
351,NOISE VIOLATION,21,37.865535,-122.255235,Thursday,0
352,BURGLARY - VEHICLE,2,37.855509,-122.291368,Wednesday,15
353,BURGLARY - VEHICLE,2,37.868352,-122.254459,Monday,17
354,LARCENY - FROM VEHICLE,13,37.870417,-122.292485,Monday,18
355,BURGLARY - COMMERCIAL,11,37.862512,-122.290094,Friday,6
356,LARCENY,1,37.865205,-122.272027,Saturday,16
357,MOTOR VEHICLE THEFT,6,37.847682,-122.279381,Wednesday,22
358,VANDALISM,5,37.854286,-122.271015,Friday,13
359,LARCENY,1,37.881957,-122.269551,Thursday,18
360,BURGLARY - COMMERCIAL,11,37.881366,-122.289688,Wednesday,0
361,BURGLARY - VEHICLE,2,37.88014,-122.297498,Saturday,12
362,LARCENY,1,37.876307,-122.268923,Saturday,19
363,ASSAULT,4,37.867513,-122.26127,Saturday,1
364,BURGLARY - RESIDENTIAL,8,37.870417,-122.292485,Monday,21
366,ROBBERY,9,37.868714,-122.259189,Saturday,1
367,BURGLARY - VEHICLE,2,37.863611,-122.317566,Friday,2
368,LARCENY,1,37.859614,-122.280268,Saturday,11
369,LARCENY,1,37.864827,-122.258577,Wednesday,19
370,VANDALISM,5,37.865134,-122.258331,Saturday,21
371,FAMILY OFFENSE,12,37.859116,-122.269336,Sunday,17
372,BURGLARY - COMMERCIAL,11,37.892108,-122.279995,Tuesday,22
373,MOTOR VEHICLE THEFT,6,37.878124,-122.27141,Monday,22
374,MOTOR VEHICLE THEFT,6,37.854102,-122.251059,Sunday,18
375,BURGLARY - RESIDENTIAL,8,37.867513,-122.26127,Monday,16
376,ROBBERY,9,37.868815,-122.292131,Friday,11
377,DRUG VIOLATION,10,37.872175,-122.267835,Thursday,22
378,LARCENY,1,37.869888,-122.300618,Tuesday,13
379,ASSAULT,4,37.852155,-122.28661,Sunday,10
380,LARCENY,1,37.869312,-122.254314,Wednesday,19
381,LARCENY,1,37.868714,-122.259189,Saturday,21
382,BURGLARY - RESIDENTIAL,8,37.866135,-122.279116,Sunday,13
383,LARCENY,1,37.882135,-122.267239,Saturday,11
384,WEAPONS OFFENSE,14,37.878986,-122.277231,Sunday,15
385,BURGLARY - VEHICLE,2,37.859381,-122.298231,Friday,16
386,VANDALISM,5,37.865511,-122.309967,Monday,7
387,ASSAULT,4,37.867816,-122.258994,Friday,16
388,BURGLARY - RESIDENTIAL,8,37.85447,-122.25967,Friday,16
389,DISORDERLY CONDUCT,3,37.872992,-122.295801,Tuesday,18
390,LARCENY,1,37.853576,-122.287202,Thursday,19
391,ARSON,18,37.883948,-122.296991,Tuesday,22
392,BURGLARY - VEHICLE,2,37.873909,-122.268233,Saturday,16
393,LARCENY,1,37.854018,-122.236384,Tuesday,13
395,BURGLARY - VEHICLE,2,37.872158,-122.282066,Friday,3
396,BURGLARY - COMMERCIAL,11,37.880266,-122.269032,Wednesday,16
397,ROBBERY,9,37.874319,-122.298604,Monday,22
398,LARCENY,1,37.871884,-122.270752,Sunday,11
399,BURGLARY - RESIDENTIAL,8,37.871265,-122.295043,Sunday,17
400,SEX CRIME,17,37.869921,-122.294825,Saturday,23
401,LARCENY,1,37.858628,-122.250783,Tuesday,17
402,LARCENY,1,37.867822,-122.266003,Monday,12
403,LARCENY,1,37.891332,-122.279975,Saturday,9
404,DRUG VIOLATION,10,37.876307,-122.268923,Sunday,0
405,LARCENY,1,37.865535,-122.255235,Saturday,23
406,BURGLARY - RESIDENTIAL,8,37.867708,-122.250801,Monday,3
407,ASSAULT,4,37.868204,-122.270054,Wednesday,14
408,ROBBERY,9,37.853479,-122.291905,Monday,19
409,MOTOR VEHICLE THEFT,6,37.872382,-122.266157,Sunday,21
410,DISORDERLY CONDUCT,3,37.871167,-122.268285,Monday,1
411,LARCENY,1,37.864238,-122.265263,Saturday,1
412,DISORDERLY CONDUCT,3,37.862512,-122.290094,Saturday,14
413,ASSAULT,4,37.87091,-122.265993,Friday,18
414,BURGLARY - VEHICLE,2,37.867176,-122.267802,Wednesday,20
416,FRAUD,7,37.872691,-122.270741,Saturday,20
417,VANDALISM,5,37.867852,-122.258699,Wednesday,21
418,LARCENY,1,37.870417,-122.292485,Monday,17
419,LARCENY,1,37.870054,-122.284263,Friday,21
420,DRUG VIOLATION,10,37.857592,-122.269186,Wednesday,0
421,ROBBERY,9,37.866981,-122.302083,Tuesday,22
422,ROBBERY,9,37.863443,-122.256304,Thursday,16
423,LARCENY,1,37.882024,-122.29756,Friday,10
424,MOTOR VEHICLE THEFT,6,37.856698,-122.290343,Monday,0
425,DISORDERLY CONDUCT,3,37.856111,-122.260248,Monday,7
426,BURGLARY - VEHICLE,2,37.858646,-122.292392,Thursday,10
427,LARCENY,1,37.876251,-122.262453,Tuesday,21
428,BURGLARY - VEHICLE,2,37.853576,-122.287202,Sunday,19
429,LARCENY,1,37.870308,-122.26805,Friday,18
430,LARCENY,1,37.862927,-122.258784,Saturday,11
431,DISORDERLY CONDUCT,3,37.871175,-122.304755,Sunday,14
432,WEAPONS OFFENSE,14,37.854116,-122.284114,Saturday,21
433,BURGLARY - VEHICLE,2,37.859802,-122.267177,Sunday,10
434,BURGLARY - VEHICLE,2,37.866622,-122.26108,Sunday,18
435,LARCENY - FROM VEHICLE,13,37.855798,-122.252707,Sunday,8
436,DISORDERLY CONDUCT,3,37.867852,-122.258699,Thursday,12
437,BURGLARY - VEHICLE,2,37.880756,-122.303056,Friday,12
438,BURGLARY - VEHICLE,2,37.847568,-122.273387,Tuesday,12
439,ROBBERY,9,37.864872,-122.274587,Monday,20
440,SEX CRIME,17,37.864535,-122.262993,Monday,17
441,VANDALISM,5,37.878313,-122.282782,Wednesday,17
442,BURGLARY - VEHICLE,2,37.88113,-122.276389,Friday,23
443,BURGLARY - RESIDENTIAL,8,37.857993,-122.263965,Wednesday,3
444,MOTOR VEHICLE THEFT,6,37.850899,-122.276174,Monday,19
